Kerry Locations,PepsiCo Locations (Food),State,Population,Social Index Current,Change in SD index,SD Past,Rt Current,Rt Past,Change in Rt,Stratified Rt,tests per case,Test Increase Current,Change in Pos Test Increase,Increase in Pos Tests Past,Per Capita Positive Tests (July 07 - July 13) per 100K,TPR Current,Change in Test Positive Rate,TPR Past,Stratified Test Positive Rate,Outbreak Index,Weekly Deaths Current,Change in Weekly Deaths,Weekly Deaths Past,Weekly Death Rate per 100K Population,Total Deaths Current,Change in Total Deaths,Total Deaths Past,Cumulative Death Rate per 100K,Total Tests Current,Change in Total Tests,Total Tests Past,Tests per 100K Population
x,x,AK,"731,545",,-27,27,1.115076904,1.115076904,0,#REF!,274.8421053,858,0,858,117.2860179,2%,0%,2%,#REF!,#REF!,4,0,4,0,25,0,25,3.4,38439,0,38439,5254
"Montgomery, AL",x,AL†,"4,903,185",,-29,29,1.111944178,1.111944178,0,#REF!,14.88930282,11546,0,11546,235.4795913,21%,0%,21%,#REF!,#REF!,142,0,142,3,1633,0,1633,33.3,56092,0,56092,1144
"Hot Springs, AR","Jonesboro, AR ",AR†,"3,017,804",,-26,26,1.037065142,1.037065142,0,#REF!,32.62921348,5150,0,5150,170.6538927,12%,0%,12%,#REF!,#REF!,67,0,67,2,475,0,475,15.7,42509,0,42509,1409
x,"Casa Grande, AZ ",AZ*,"7,278,717",,-34,34,0.903408419,0.903408419,0,#REF!,17.10927296,15670,0,15670,215.2851938,18%,0%,18%,#REF!,#REF!,475,0,475,7,3779,0,3779,51.9,86085,0,86085,1183
"Commerce, CA
Mecca, CA
Montebello, CA
Union City, CA","Modesto, CA
Rancho Cucamonga, CA
Bakersfield, CA ",CA*,"39,512,223",,-37,37,0.970088079,0.970088079,0,#REF!,18.59767462,54351,0,54351,137.5549029,6%,0%,6%,#REF!,#REF!,943,0,943,2,9388,0,9388,23.8,888118,0,888118,2248
x,"Denver, CO ",CO*,"5,758,736",,-28,28,1.037774673,1.037774673,0,#REF!,6.604166667,3380,0,3380,58.6934355,7%,0%,7%,#REF!,#REF!,30,0,30,1,1691,0,1691,29.4,49424,0,49424,858
x,"Dayville, CT",CT†,"3,565,287",,-27,27,1.049031670,1.049031670,0,#REF!,4.662340842,1079,0,1079,30.26404326,1%,0%,1%,#REF!,#REF!,19,0,19,1,4437,0,4437,124.5,84131,0,84131,2360
x,x,DC,"705,749",,-57,57,1.017365507,1.017365507,0,#REF!,4.340345605,455,0,455,64.47051289,2%,0%,2%,#REF!,#REF!,4,0,4,1,586,0,586,83.0,24667,0,24667,3495
x,x,DE†,"973,764",,-28,28,0.955817533,0.955817533,0,#REF!,4.569294606,649,0,649,66.64859247,4%,0%,4%,#REF!,#REF!,6,0,6,1,585,0,585,60.1,14600,0,14600,1499
"Lakeland, FL
Plant City, FL","Orlando, FL",FL*,"21,477,737",,-34,34,0.986019351,0.986019351,0,#REF!,21.515181,59137,0,59137,275.3409263,18%,0%,18%,#REF!,#REF!,1230,0,1230,6,7279,0,7279,33.9,321301,0,321301,1496
"Banks, GA
Calhoun, GA
Rome, GA
Savannah, GA","Kathleen, GA ",GA,"10,617,423",,-30,30,0.953782531,0.953782531,0,#REF!,12.9180545,24592,0,24592,231.6192922,13%,0%,13%,#REF!,#REF!,333,0,333,3,3842,0,3842,36.2,193438,0,193438,1822
x,x,HI,"1,415,872",,-45,45,1.306579306,1.306579306,0,#REF!,377,559,0,559,39.48097003,4%,0%,4%,#REF!,#REF!,0,0,0,0.001,26,0,26,1.8,13164,0,13164,930
"Fredricksburg, IA
Vinton, IA","Cedar Rapids, IA",IA,"3,155,070",,-25,25,1.010161716,1.010161716,0,#REF!,6.070516096,3287,0,3287,104.1815237,10%,0%,10%,#REF!,#REF!,49,0,49,2,882,0,882,28.0,31630,0,31630,1003
