Kerry Locations,State,Population,Social Index Current,Change in SD index,SD Past,Rt Current,Rt Past,Change in Rt,Stratified Rt,tests per case,Test Increase Current,Change in Pos Test Increase,Increase in Pos Tests Past,Per Capita Positive Tests (July 07 - July 13) per 100K,TPR Current,Change in Test Positive Rate,TPR Past,Stratified Test Positive Rate,Outbreak Index,Weekly Deaths Current,Change in Weekly Deaths,Weekly Deaths Past,Weekly Death Rate per 100K Population,Total Deaths Current,Change in Total Deaths,Total Deaths Past,Cumulative Death Rate per 100K,Total Tests Current,Change in Total Tests,Total Tests Past,Tests per 100K Population
Montgomery,AL,4903185,22,-7,29,1.111944178,1.111944178,0,#REF!,14.88930282,11546,0,11546,235.4795913,21%,0%,21%,#REF!,#REF!,142,0,142,3,1633,0,1633,33.3,56092,0,56092,1144
Hot Springs,AR,3017804,76,50,26,1.037065142,1.037065142,0,#REF!,32.62921348,5150,0,5150,170.6538927,12%,0%,12%,#REF!,#REF!,67,0,67,2,475,0,475,15.7,42509,0,42509,1409
"Commerce, Mecca, Montebello, Union City",CA,39512223,22,-15,37,0.970088079,0.970088079,0,#REF!,18.59767462,54351,0,54351,137.5549029,6%,0%,6%,#REF!,#REF!,943,0,943,2,9388,0,9388,23.8,888118,0,888118,2248
"Lakeland, Plant City",FL,21477737,85,51,34,0.986019351,0.986019351,0,#REF!,21.515181,59137,0,59137,275.3409263,18%,0%,18%,#REF!,#REF!,1230,0,1230,6,7279,0,7279,33.9,321301,0,321301,1496
"Banks, Calhoun, Rome, Savannah",GA,10617423,22,-8,30,0.953782531,0.953782531,0,#REF!,12.9180545,24592,0,24592,231.6192922,13%,0%,13%,#REF!,#REF!,333,0,333,3,3842,0,3842,36.2,193438,0,193438,1822
"Fredricksburg, IA
Vinton, IA",IA,3155070,16,-9,25,1.010161716,1.010161716,0,#REF!,6.070516096,3287,0,3287,104.1815237,10%,0%,10%,#REF!,#REF!,49,0,49,2,882,0,882,28.0,31630,0,31630,1003
"Carol Stream, IL
Chicago, IL
Elk Grove Village, IL
Melrose Park, IL
Lake Zurich, IL",IL,12671821,44,17,27,1.092876420,1.092876420,0,#REF!,6.08053467,10625,0,10625,83.84745965,4%,0%,4%,#REF!,#REF!,115,0,115,1,7723,0,7723,60.9,264702,0,264702,2089
"Evansville, West Bend",IN,6732219,54,29,25,1.001586531,1.001586531,0,#REF!,6.380462725,5526,0,5526,82.08289124,8%,0%,8%,#REF!,#REF!,74,0,74,1,2980,0,2980,44.3,67691,0,67691,1005
New Century,KS,2913314,46,19,27,1.071201111,1.071201111,0,#REF!,6.92339979,2704,0,2704,92.81526125,12%,0%,12%,#REF!,#REF!,30,0,30,1,365,0,365,12.5,22903,0,22903,786
Baltimore,MD,6045680,45,12,33,1.047616188,1.047616188,0,#REF!,4.486504193,6268,0,6268,103.6773365,6%,0%,6%,#REF!,#REF!,76,0,76,1,3523,0,3523,58.3,105119,0,105119,1739
Portland,ME,1344212,45,21,24,0.975832418,0.975832418,0,#REF!,11.83404255,138,0,138,10.26623777,1%,0%,1%,#REF!,#REF!,5,0,5,0,124,0,124,9.2,16704,0,16704,1243
"Blue Earth, MN
Owatonna, MN
Rochester, MN",MN,5639632,45,16,29,1.074375797,1.074375797,0,#REF!,6.418775124,4757,0,4757,84.34947528,-5%,0%,-5%,#REF!,#REF!,40,0,40,1,1656,0,1656,29.4,-98722,0,-98722,-1751
"Affton, MO
Greenville, MO
Nixa, MO
Springfield, MO",MO,6137428,1,-25,26,1.220293766,1.220293766,0,#REF!,12.8920742,9837,0,9837,160.278866,14%,0%,14%,#REF!,#REF!,54,0,54,1,1255,0,1255,20.4,71044,0,71044,1158
"Vicksburg, MS",MS,2976149,13,-17,30,1.061724114,1.061724114,0,#REF!,7.721539284,8168,0,8168,274.4486247,23%,0%,23%,#REF!,#REF!,210,0,210,7,1711,0,1711,57.5,35120,0,35120,1180
"Clark, NJ
Clark Savory, NJ",NJ,8882190,15,-17,32,0.965851159,0.965851159,0,#REF!,2.986050858,2802,0,2802,31.54627406,2%,0%,2%,#REF!,#REF!,42,0,42,0,15846,0,15846,178.4,180739,0,180739,2035
"North Rose, NY
Norwich, NY",NY,19453561,52,13,39,0.941745766,0.941745766,0,#REF!,8.131632083,4499,0,4499,23.12687122,1%,0%,1%,#REF!,#REF!,55,0,55,0,25172,0,25172,129.4,455625,0,455625,2342
"Byesville, OH",OH,11689100,64,38,26,0.918456295,0.918456295,0,#REF!,10.27509747,8786,0,8786,75.16404171,5%,0%,5%,#REF!,#REF!,195,0,195,2,3539,0,3539,30.3,191445,0,191445,1638
"Crossville, TN",TN,6829174,15,-11,26,0.980140281,0.980140281,0,#REF!,17.46563523,14147,0,14147,207.1553602,9%,0%,9%,#REF!,#REF!,114,0,114,2,1092,0,1092,16.0,163081,0,163081,2388
"Forth Worth, TX",TX,28995881,35,-1,36,0.933380324,0.933380324,0,#REF!,17.09735725,56091,0,56091,193.4447172,14%,0%,14%,#REF!,#REF!,1303,0,1303,4,7016,0,7016,24.2,405704,0,405704,1399
"Harrisonburg, VA",VA,8535519,85,55,30,1.023290643,1.023290643,0,#REF!,5.528127184,7034,0,7034,82.40857996,6%,0%,6%,#REF!,#REF!,136,0,136,2,2218,0,2218,26.0,115897,0,115897,1358
"Seattle, WA
Summer, WA",WA,7614893,25,-5,30,1.012360474,1.012360474,0,#REF!,20.17057221,5538,0,5538,72.72590698,6%,0%,6%,#REF!,#REF!,95,0,95,1,57,0,57,0.7,88933,0,88933,1168
"Beloit, WI
Jackson, WI
Manitowoc, WI
Owen, WI
Rhinelander, WI
Rothschilde, WI
Sturtevant, WI
Vesper, WI",WI,5822434,26,0,26,0.985503389,0.985503389,0,#REF!,11.01313003,6120,0,6120,105.1106805,7%,0%,7%,#REF!,#REF!,56,0,56,1,1596,0,1596,27.4,93650,0,93650,1608
