uid,fips,st,state,county
8405035,5035, AR ,Arkansas,Jonesboro
,,AZ ,,Casa Grande
,, CA,California,Modesto
,, CA,California,Rancho Cucamonga
,, CA,California,Bakersfield
,, CO ,Colorado,Denver
,,CT,,Dayville
,,FL,Florida,Orlando
,,GA,Georgia,Kathleen
,,IA,IOWA,Cedar Rapids
,,IL,Illinois,Bridgeview
,,IL,Illinois,Danville
,,IN,,Frankfort
,,KS,,Topeka
,,MA,,Randolph
,,MD,,Aberdeen
,,MO,,Columbia
,,NC,NORTH CAROLINA,Charlotte
,,NY,,Binghampton
,,OH,Ohio,"Canton, Wooster"
,,PA,Pennsylvania,Williamsport
,,,,York
,,TN,Tennessee,Fayetteville
,,TN,Tennessee,Pulaski
,,TX,TEXAS,Irving
,,TX,TEXAS,Arlington
,,TX,TEXAS,San Antonia
,,TX,TEXAS,Rosenberg
,,UT,UTAH,Salt Lake City
,,VA,,Lynchburg
,,WA,,Vancouver
,,WI,,Beloit
,,,,
