uid,fips,st,state,county
8405007,5007,AR,Arkansas,Benton
8406073,6073,CA,California,San Diego
8406085,6085,CA,California,Santa Clara
8408005,8005,CO,Colorado,Arapahoe
84012063,12063,FL,Florida,Hillsborough
84013115,13115,GA,Georgia,Floyd
84017031,17031,IL,Illinois,Cook
18017043,17043,IL,Illinois,Dupage
84020209,20209,KS,Kansas,Wyandotte
84021195,21195,KY,Kentucky,Pike
84026025,26025,MI,Michigan,Calhoun
84026081,26081,MI,Michigan,Kent
84027053,27053,MN,Minnesota,Hennepin
84037183,37183,NC,North Carolina,Wake
84031055,31055,NE,Nebraska,Douglas
84034007,34007,NJ,New Jersey,Camden 
84039061,39061,OH,Ohio,Hamilton
84039119,39119,OH,Ohio,Muskingan
84039113,39113,PA,Pennsylvania,Montgomery
84042071,42071,PA,Pennsylvania,Lancaster
84042081,42081,PA,Pennsylvania,Lycoming
84047035,47035,TN,Tennessee,Davidson
84047047,47047,TN,Tennessee,Fayette
84017113,47113,TN,Tennessee,Madison
84047157,47157,TN,Tennessee,Shelby
